목적/사유,위도,경도,grade,EMD_CD,EMD_ENG_NM,EMD_KOR_NM
교통사고,37.080016999999998,126.952332999999996,"2","41590400",Yanggam-myeon,양감면
교통사고,37.217945000000000,126.955744800000005,"2","41590253",Bongdam-eup,봉담읍
절도사건,37.187187119999997,126.790370199999998,"3","41590330",Mado-myeon,마도면
절도사건,37.202083049999999,127.038948599999998,"3","41590117",Byeongjeom-dong,병점동
교통사고,37.132764490000000,126.909889899999996,"2","41590259",Hyangnam-eup,향남읍
교통사고,37.109792130000002,126.801375699999994,"2","41590256",Ujeong-eup,우정읍
교통사고,37.195476769999999,127.069859500000007,"2","41590127",Bansong-dong,반송동
교통사고,37.195031999999998,127.117478000000006,"2","41590130",Cheonggye-dong,청계동
교통사고,37.131544640000001,126.923370100000000,"2","41590259",Hyangnam-eup,향남읍
교통사고,37.203065000000002,127.041223000000002,"2","41590117",Byeongjeom-dong,병점동
절도사건,37.173015950000000,126.696898200000007,"3","41590350",Seosin-myeon,서신면
사기사건,37.235780640000002,127.061956300000006,"3","41590120",Banwol-dong,반월동
교통사고,37.100222000000002,126.901167000000001,"2","41590259",Hyangnam-eup,향남읍
교통사고,37.215286220000003,126.953277799999995,"2","41590253",Bongdam-eup,봉담읍
교통사고,37.213142879999999,126.737725200000000,"2","41590340",Songsan-myeon,송산면
절도사건,37.205944320000000,127.065083400000006,"3","41590127",Bansong-dong,반송동
교통사고,37.219284680000001,127.079453799999996,"2","41590128",Seogu-dong,석우동
절도사건,37.205908870000002,127.064852599999995,"3","41590127",Bansong-dong,반송동
교통사고,37.130290000000002,126.900147799999999,"2","41590259",Hyangnam-eup,향남읍
교통사고,37.220877399999999,126.995909900000001,"2","41590123",Baeyang-dong,배양동
교통사고,37.206211410000002,127.142225100000005,"2","41590132",Jung-dong,중동
교통사고,37.208716000000003,127.111591000000004,"2","41590131",Yeongcheon-dong,영천동
점유이탈횡령,37.208716000000003,127.111591000000004,"2","41590131",Yeongcheon-dong,영천동
특수폭행,37.197277999999997,127.109778000000006,"4","41590130",Cheonggye-dong,청계동
교통사고,37.201229380000001,126.992177299999994,"2","41590126",Annyeong-dong,안녕동
교통사고,37.208362360000002,126.816786800000003,"2","41590262",Namyang-eup,남양읍
교통사고,37.225276950000001,126.936632299999999,"2","41590253",Bongdam-eup,봉담읍
교통사고,37.116627049999998,126.816422399999993,"2","41590256",Ujeong-eup,우정읍
교통사고,37.214091000000003,126.733825999999993,"2","41590340",Songsan-myeon,송산면
교통사고,37.168172089999999,127.078452900000002,"2","41590139",Geumgok-dong,금곡동
